Date,Close,Open,High,Low,Return_1d,Return_3d,Return_5d,HL_Range,HL_Range_Pct,Body,Upper_Shadow,Lower_Shadow,RSI_14,RSI_21,MACD,MACD_Signal,MACD_Diff,BB_High,BB_Low,BB_Mid,BB_Width,BB_Position,ATR,ATR_Pct,ADX,ADX_Pos,ADX_Neg,Stoch_K,Stoch_D,SMA_10,Distance_SMA_10,SMA_20,Distance_SMA_20,SMA_50,Distance_SMA_50,SMA_100,Distance_SMA_100,SMA_200,Distance_SMA_200,EMA_12,EMA_26,EMA_50,SMA_Cross_50_200,Momentum_5,Momentum_Pct_5,Momentum_10,Momentum_Pct_10,Momentum_20,Momentum_Pct_20,ROC_5,ROC_10,ROC_20,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,DXY_Return,DXY_Return_Lag1,GBPUSD_Return,GBPUSD_Return_Lag1,USDJPY_Return,USDJPY_Return_Lag1,USDCHF_Return,USDCHF_Return_Lag1,AUDUSD_Return,AUDUSD_Return_Lag1,XAUUSD_Return,XAUUSD_Return_Lag1,Spread_EUR_GBP,DayOfWeek,Month,Quarter,DayOfMonth,IsMonthStart,IsMonthEnd,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,Target_Direction,Target_Return,Target_Price
2025-02-05,1.0372798442840576,1.0372798442840576,1.043645262718201,1.037043213844299,0.4398011689169534,-0.2354540941334804,-0.5393825379875761,0.006602048873901811,0.6364771194854,0.0,0.0063654184341432885,0.00023663043975852283,49.14465765883692,47.39522262732189,-0.00117562992532938,-0.0012981597876070635,0.0001225298622776834,1.0494214651902962,1.0212627055326653,1.0353420853614808,2.719754181324479,56.881549280355934,0.00956446602681171,0.9220719056209189,19.79608417700387,23.659484113215072,23.449434951335878,49.814142976091354,32.100233932040766,1.0393837094306948,-0.2024146739599702,1.0353420853614808,0.18716122429238527,1.0415424084663392,-0.40925498065490495,1.0638564717769623,-2.498140322304349,1.076120839715004,-3.609352592895872,1.0368785942606726,1.038054224186002,1.0440179401374967,0,-0.005625247955322488,-0.5393825379875806,-0.0033136606216432885,-0.31843948727544424,0.0027257204055786133,0.26346813015060605,-0.5393825379875806,-0.31843948727544424,0.26346813015060605,1.0327378511428833,1.024779200553894,1.0397279262542725,1.04290509223938,1.040593504905701,0.7766210111102678,-1.4377536010052872,-0.268257458552168,-0.15331053400751138,-0.3519796745465431,-0.945039727943009,0.3731013748530021,1.1375060346755506,-0.7367461024133437,-0.055363111098449824,-0.6987645967988843,-0.3955256039868682,0.5419678264782624,1.1912479937215448,0.6413643330515084,0.6845741611526401,-0.21053647994995117,2,2,1,5,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1,0.2704183059746931,1.0400848388671875
2025-02-06,1.0400848388671875,1.0400848388671875,1.040528655052185,1.0354539155960083,0.2704183059746956,1.493554738915548,-0.23402204376506974,0.005074739456176758,0.4879159147924827,0.0,0.0004438161849975586,0.004630923271179199,51.604224495336496,49.16518943806697,-0.0008327774266370103,-0.001205083315413053,0.00037230588877604264,1.0498791014683928,1.0216665351855074,1.0357728183269501,2.7238179824467887,65.28404221367549,0.009243771271766356,0.8887516600890217,18.539758565282085,22.73171098688235,23.757982886495448,58.560574521232304,48.00872784584275,1.0392905950546265,0.07642172616016449,1.0357728183269501,0.41630949026085157,1.0413617086410523,-0.12261539513787605,1.0631342208385468,-2.168059452848683,1.0759879875183105,-3.3367611039906717,1.037371862661675,1.038204640088312,1.0438637008719944,0,-0.002439737319946289,-0.23402204376507235,-0.0009311437606813744,-0.08944567386284112,0.008614659309387207,0.8351825850244533,-0.23402204376507235,-0.08944567386284112,0.8351825850244533,1.0372798442840576,1.0327378511428833,1.024779200553894,1.0425245761871338,1.0410159826278689,0.4398011689169534,0.7766210111102678,-1.4377536010052872,-0.03648616303418839,0.10225005435890999,-0.3519796745465431,0.20756742669316708,0.3731013748530021,-0.9906981901267709,-0.7367461024133437,-0.43193021692248257,-0.6987645967988843,0.5499830990803867,0.5419678264782624,-0.5432545314712378,0.6413643330515084,-0.2103215456008911,3,2,1,6,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,-0.14540054721769877,1.0385725498199463
2025-02-07,1.0385725498199463,1.0385725498199463,1.040593504905701,1.0324605703353882,-0.14540054721770002,0.5649738382887737,-0.11112295872329758,0.008132934570312722,0.7830877651949014,0.0,0.0020209550857546166,0.0061119794845581055,50.19471658951022,48.24623196181244,-0.0006753088980779864,-0.0010991284319460397,0.00042381953386805326,1.05008960026204,1.0223372791439354,1.0362134397029876,2.6782436952428705,58.500586696583255,0.009164425793091097,0.8824059325157304,17.72840669360793,21.290770300367896,24.585034971593387,53.8450101106221,54.073242535981926,1.0389876961708069,-0.039956811075878874,1.0362134397029876,0.22766642725989542,1.0410082578659057,-0.23397586210820742,1.0624051296710968,-2.243266639584909,1.0758200699090958,-3.462244396713744,1.0375565837629477,1.0382318926610257,1.0436562047523061,0,-0.0011553764343261719,-0.11112295872330132,-0.0030289888381958008,-0.2908011101920931,0.008812427520751953,0.8557747896739317,-0.11112295872330132,-0.2908011101920931,0.8557747896739317,1.0400848388671875,1.0372798442840576,1.0327378511428833,1.0397279262542725,1.041601538658142,0.2704183059746956,0.4398011689169534,0.7766210111102678,-0.268257458552168,0.3250055401489593,0.10225005435890999,-0.5323205298722877,0.20756742669316708,-0.9259200932849265,-0.9906981901267709,0.41827009045478647,-0.43193021692248257,-0.058424270585644145,0.5499830990803867,0.39565997297357214,-0.5432545314712378,-0.2051776647567749,4,2,1,7,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,-0.7135643922794047,1.0311616659164429
2025-02-10,1.0311616659164429,1.0311616659164429,1.0336023569107056,1.0299509763717651,-0.7135643922794088,-0.5898290997679245,0.6228137104167475,0.0036513805389404297,0.35410359593762364,0.0,0.0024406909942626953,0.0012106895446777344,43.87090731745556,44.01325692288034,-0.0011354219133261623,-0.0011063871282220642,-2.90347851040981e-05,1.0495682973100116,1.0235304337309432,1.0365493655204774,2.511975256093479,29.308211721465327,0.00912565062559753,0.8849873814390807,17.266069287423754,19.854004345699266,24.890279048294083,30.736662899964315,47.71408251060624,1.0374279975891114,-0.6040256950102496,1.0365493655204774,-0.5197726016000419,1.040505473613739,-0.8980065875909737,1.0615547859668732,-2.8630759761257223,1.0756093436479568,-4.132325364594591,1.0365727502481008,1.037708172161427,1.0431662228371743,0,0.006382465362548828,0.6228137104167513,-0.015596985816955566,-1.490026931339661,0.0067185163497924805,0.6558212969294079,0.6228137104167513,-1.490026931339661,0.6558212969294079,1.0385725498199463,1.0400848388671875,1.0372798442840576,1.024779200553894,1.0467586517333984,-0.14540054721770002,0.2704183059746956,0.4398011689169534,-1.4377536010052872,0.2591621408035705,0.3250055401489593,-0.3692683824047416,-0.5323205298722877,0.43189824095954954,-0.9259200932849265,0.6231388777046432,0.41827009045478647,-0.3645847269514335,-0.058424270585644145,1.6391727129920985,0.39565997297357214,-0.20799577236175537,0,2,1,10,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,-0.09786114722859891,1.0301525592803955
2025-02-11,1.0301525592803955,1.0301525592803955,1.0351966619491575,1.0292725563049316,-0.09786114722859507,-0.954948982585857,-0.25033379570883474,0.005924105644225852,0.575070710726971,0.0,0.005044102668761985,0.0008800029754638672,43.07511644703362,43.467991160979686,-0.0015634685724408293,-0.001197803417065817,-0.00036566515537501216,1.0492785842424266,1.0241828649038442,1.0367307245731354,2.420659361563272,23.78769979059101,0.008896968841213838,0.8636554616171358,16.605033120967533,20.189698806377855,23.706467832366588,27.590103485190912,37.390592165259115,1.0359926104545594,-0.5637155241485208,1.0367307245731354,-0.6345104989001279,1.0400183749198915,-0.9486193587931445,1.0606954729557037,-2.8795176800555335,1.0753810441493987,-4.20581012796054,1.0355850285607615,1.0371484971332023,1.0426558830898496,0,-0.002585291862487793,-0.2503337957088307,-0.01435387134552002,-1.3742252727844413,0.003627181053161399,0.35334548274153604,-0.2503337957088307,-1.3742252727844413,0.35334548274153604,1.0311616659164429,1.0385725498199463,1.0400848388671875,1.0327378511428833,1.0445064306259155,-0.7135643922794088,-0.14540054721770002,0.2704183059746956,0.7766210111102678,-0.332349161157508,0.2591621408035705,-0.24969200964406468,-0.3692683824047416,-0.05728854262309069,0.43189824095954954,0.06477883505691118,0.6231388777046432,0.19786318803811653,-0.3645847269514335,-0.06176607754746488,1.6391727129920985,-0.20591080188751198,1,2,1,11,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1,0.6156768707821494,1.0364949703216553
2025-02-12,1.0364949703216553,1.0364949703216553,1.039565920829773,1.031821370124817,0.6156768707821447,-0.20004182650997793,-0.07566655871387162,0.007744550704956055,0.7471865206015124,0.0,0.0030709505081176758,0.004673600196838379,49.30001365339991,47.740623896265795,-0.001375068138855351,-0.001233256361423724,-0.00014181177743162704,1.0492609224421392,1.0247816719906917,1.0370212972164154,2.360534978129667,47.849906001803035,0.008933854034654095,0.8619293185650148,15.458047337206546,22.163514604112535,21.922263055922727,47.36677768526228,35.23118135680584,1.0353515982627868,0.11043321522726747,1.0370212972164154,-0.05075372089010601,1.0397458267211914,-0.31265875909188623,1.059948694705963,-2.2127226064289873,1.0751797652244568,-3.5979839050194182,1.0357250196008991,1.0371000877397545,1.0424142786675674,0,-0.0007848739624023438,-0.07566655871387076,-0.006410121917724831,-0.6146409644966527,0.005811452865600364,0.5638445523941491,-0.07566655871387076,-0.6146409644966527,0.5638445523941491,1.0301525592803955,1.0311616659164429,1.0385725498199463,1.0372798442840576,1.04290509223938,-0.09786114722859507,-0.7135643922794088,-0.14540054721770002,0.4398011689169534,-0.018522270503884553,-0.332349161157508,0.7358867438639338,-0.24969200964406468,0.6457578859882629,-0.05728854262309069,0.18215019640828167,0.06477883505691118,0.43080494383529455,0.19786318803811653,-0.1201716738197467,-0.06176607754746488,-0.2086644172668457,2,2,1,12,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1,0.2608470628827741,1.039198637008667
2025-02-13,1.039198637008667,1.039198637008667,1.044571876525879,1.0379257202148438,0.26084706288276305,0.7794094134677909,-0.08520476651555642,0.006646156311035156,0.6395462882982714,0.0,0.005373239517211914,0.0012729167938232422,51.72354612939972,49.4506577901097,-0.0009961135547307265,-0.0011858278000851244,0.00018971424535439794,1.0492772170107527,1.0257325581509906,1.0375048875808717,2.2693540186264256,57.1937734918298,0.008872643475337633,0.8537966813426099,15.025668528756439,24.752394673937644,20.49682170311536,55.79725228975853,43.58471115340391,1.03501900434494,0.403821828022585,1.0375048875808717,0.16325218782772208,1.039508147239685,-0.029774680635247578,1.059149490594864,-1.883667391936497,1.0750005125999451,-3.330405443685734,1.0362594222790174,1.037255535833748,1.0422881750731008,0,-0.0008862018585205078,-0.08520476651555829,-0.003325939178466797,-0.31902741234464566,0.009671807289123313,0.9394419853786653,-0.08520476651555829,-0.31902741234464566,0.9394419853786653,1.0364949703216553,1.0301525592803955,1.0311616659164429,1.0400848388671875,1.0425245761871338,0.6156768707821447,-0.09786114722859507,-0.7135643922794088,0.2704183059746956,-0.5836620979830509,-0.018522270503884553,-0.0074675777877453164,0.7358867438639338,0.9925470806260606,0.6457578859882629,0.04490962256724629,0.18215019640828167,-0.24314848950400814,0.43080494383529455,0.5809522978257098,-0.1201716738197467,-0.20586776733398438,3,2,1,13,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1,0.6705875470178712,1.0461673736572266
2025-02-14,1.0461673736572266,1.0461673736572266,1.0513699054718018,1.0448119640350342,0.6705875470178757,1.5546060855314625,0.7312752333572536,0.006557941436767578,0.626853943441393,0.0,0.005202531814575195,0.0013554096221923828,57.378801781031605,53.56304877484018,-0.000131949477770954,-0.0009750521356222904,0.0008431026578513364,1.0501507595388138,1.0264562532099044,1.038303506374359,2.2820404807885066,83.18856773678748,0.009108259545894571,0.8706311987204892,15.36989894216506,27.720931471725763,18.540415963772787,82.69602867474465,61.95335288325516,1.0356629490852356,1.014270577244185,1.038303506374359,0.7573765507474043,1.039403212070465,0.6507735889412425,1.0584801411628724,-1.163249741475423,1.0748578941822051,-2.6692384807581893,1.0377837224910496,1.0379156719688205,1.0424403005077725,0,0.0075948238372802734,0.7312752333572615,0.0064394474029541016,0.6193396599582429,0.015972375869750977,1.5504225805846907,0.7312752333572615,0.6193396599582429,1.5504225805846907,1.039198637008667,1.0364949703216553,1.0301525592803955,1.0385725498199463,1.0397279262542725,0.26084706288276305,0.6156768707821447,-0.09786114722859507,-0.14540054721770002,-0.6895889298343283,-0.5836620979830509,0.9058273861123789,-0.0074675777877453164,-0.8207231076154398,0.9925470806260606,-1.111234444567788,0.04490962256724629,0.5400953847231049,-0.24314848950400814,-1.445702385567471,0.5809522978257098,-0.21017718315124512,4,2,1,14,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1,0.26327820045105405,1.0489217042922974
2025-02-17,1.0489217042922974,1.0489217042922974,1.0507071018218994,1.0467368364334106,0.2632782004510448,1.1989188878346102,1.722333069865467,0.0039702653884887695,0.3785092225894486,0.0,0.0017853975296020508,0.0021848678588867188,59.40301992176915,55.079656545964504,0.0007663245303686228,-0.0006267768024241078,0.0013931013327927308,1.0510286917326863,1.0276966224076336,1.03936265707016,2.2448439114431005,90.96956463211524,0.008781935875807305,0.8372346420014671,15.689541468901634,26.697357186279135,17.855825222608182,91.85711793440335,76.7834662996355,1.0380771994590758,1.0446722882337083,1.03936265707016,0.9197027771887849,1.0392104554176331,0.9344833689881924,1.0577921783924102,-0.8385838240545386,1.0747099232673645,-2.399551582874104,1.03949725815278,1.0387309336224113,1.042694473205205,0,0.017760038375854492,1.7223330698654602,0.02414250373840332,2.355873706780375,0.021183013916015847,2.0611283893827332,1.7223330698654602,2.355873706780375,2.0611283893827332,1.0461673736572266,1.039198637008667,1.0364949703216553,1.0311616659164429,1.024779200553894,0.6705875470178757,0.26084706288276305,0.6156768707821447,-0.7135643922794088,0.0,-0.6895889298343283,0.16484514348729107,0.9058273861123789,-0.6314201857577029,-0.8207231076154398,-0.3786322045239432,-1.111234444567788,0.6267483786849937,0.5400953847231049,0.0,-1.445702385567471,-0.20949387550354004,0,2,1,17,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,-0.03669738116623118,1.048536777496338
2025-02-18,1.048536777496338,1.048536777496338,1.0486466884613037,1.044277310371399,-0.03669738116622856,0.8985905249597748,1.7846112258153912,0.004369378089904785,0.41671195361767327,0.0,0.00010991096496582031,0.004259467124938965,58.98142663556903,54.816947036328976,0.0014306610085168536,-0.0002152892402359156,0.0016459502487527692,1.0519761937773033,1.027395973809977,1.0396860837936401,2.364196304103379,86.00738201066818,0.008486397164742384,0.8093561758516405,15.591511319277274,25.65372869253155,19.22796327622205,90.57682547738375,88.37665736217726,1.0396570920944215,0.8540975163289671,1.0396860837936401,0.851285194700602,1.0390502643585204,0.9129984817119654,1.057107731103897,-0.8107928222801652,1.074567403793335,-2.4224284307439743,1.0408879534364042,1.0394572924278873,1.0429235831774064,0,0.018384218215942383,1.7846112258153808,0.01579892635345459,1.5298099450863205,0.006468534469604492,0.6207400055505335,1.7846112258153808,1.5298099450863205,0.6207400055505335,1.0489217042922974,1.0461673736572266,1.039198637008667,1.0301525592803955,1.0327378511428833,0.2632782004510448,0.6705875470178757,0.26084706288276305,-0.09786114722859507,0.45041133368501907,0.0,0.29660806215781044,0.16484514348729107,-0.38085998173839064,-0.6314201857577029,0.09890941309995682,-0.3786322045239432,-0.0063481906625195705,0.6267483786849937,1.664585877875835,0.0,-0.21361136436462402,1,2,1,18,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,-0.3531586340879541,1.044833779335022
