date,open,high,low,close,count
2024-11-27,91931.83077291827,91931.83077291827,91931.83077291827,91931.83077291827,1
2024-11-28,95981.18057210564,95981.18057210564,95981.18057210564,95981.18057210564,1
2024-11-29,95661.59595817851,95661.59595817851,95661.59595817851,95661.59595817851,1
2024-11-30,97453.2473451042,97453.2473451042,97453.2473451042,97453.2473451042,1
2024-12-01,96513.14234698225,96513.14234698225,96513.14234698225,96513.14234698225,1
2024-12-02,97311.70719084324,97311.70719084324,97311.70719084324,97311.70719084324,1
2024-12-03,95833.1362300365,95833.1362300365,95833.1362300365,95833.1362300365,1
2024-12-04,96031.63097759831,96031.63097759831,96031.63097759831,96031.63097759831,1
2024-12-05,98881.4694561823,98881.4694561823,98881.4694561823,98881.4694561823,1
2024-12-06,97201.50036407741,97201.50036407741,97201.50036407741,97201.50036407741,1
2024-12-07,99973.85150659826,99973.85150659826,99973.85150659826,99973.85150659826,1
2024-12-08,99781.82999198174,99781.82999198174,99781.82999198174,99781.82999198174,1
2024-12-09,101235.3717025316,101235.3717025316,101235.3717025316,101235.3717025316,1
2024-12-10,97353.94700820887,97353.94700820887,97353.94700820887,97353.94700820887,1
2024-12-11,96649.71446771531,96649.71446771531,96649.71446771531,96649.71446771531,1
2024-12-12,101123.61811033697,101123.61811033697,101123.61811033697,101123.61811033697,1
2024-12-13,100000.80836535197,100000.80836535197,100000.80836535197,100000.80836535197,1
2024-12-14,101352.22971292294,101352.22971292294,101352.22971292294,101352.22971292294,1
2024-12-15,101367.01064553364,101367.01064553364,101367.01064553364,101367.01064553364,1
2024-12-16,104721.50151808978,104721.50151808978,104721.50151808978,104721.50151808978,1
2024-12-17,106074.10723541168,106074.10723541168,106074.10723541168,106074.10723541168,1
2024-12-18,106034.913402645,106034.913402645,106034.913402645,106034.913402645,1
2024-12-19,100355.5761481501,100355.5761481501,100355.5761481501,100355.5761481501,1
2024-12-20,97851.35377075805,97851.35377075805,97851.35377075805,97851.35377075805,1
2024-12-21,97691.43431692653,97691.43431692653,97691.43431692653,97691.43431692653,1
2024-12-22,97202.82496847633,97202.82496847633,97202.82496847633,97202.82496847633,1
2024-12-23,95094.27394862173,95094.27394862173,95094.27394862173,95094.27394862173,1
2024-12-24,94644.91085464321,94644.91085464321,94644.91085464321,94644.91085464321,1
2024-12-25,98695.71400782601,98695.71400782601,98695.71400782601,98695.71400782601,1
2024-12-26,99344.95417367229,99344.95417367229,99344.95417367229,99344.95417367229,1
2024-12-27,95678.31244565405,95678.31244565405,95678.31244565405,95678.31244565405,1
2024-12-28,94331.94727053077,94331.94727053077,94331.94727053077,94331.94727053077,1
2024-12-29,95184.61945288602,95184.61945288602,95184.61945288602,95184.61945288602,1
2024-12-30,93663.44751964067,93663.44751964067,93663.44751964067,93663.44751964067,1
2024-12-31,92627.28213113277,92627.28213113277,92627.28213113277,92627.28213113277,1
2025-01-01,93507.85874741491,93507.85874741491,93507.85874741491,93507.85874741491,1
2025-01-02,94384.1761153871,94384.1761153871,94384.1761153871,94384.1761153871,1
2025-01-03,96852.14681235075,96852.14681235075,96852.14681235075,96852.14681235075,1
2025-01-04,98084.34279280754,98084.34279280754,98084.34279280754,98084.34279280754,1
2025-01-05,98256.73876849933,98256.73876849933,98256.73876849933,98256.73876849933,1
2025-01-06,98364.58946599838,98364.58946599838,98364.58946599838,98364.58946599838,1
2025-01-07,102229.39453189743,102229.39453189743,102229.39453189743,102229.39453189743,1
2025-01-08,96952.09886774956,96952.09886774956,96952.09886774956,96952.09886774956,1
2025-01-09,95016.71440989176,95016.71440989176,95016.71440989176,95016.71440989176,1
2025-01-10,92376.27578346101,92376.27578346101,92376.27578346101,92376.27578346101,1
2025-01-11,94736.6267420969,94736.6267420969,94736.6267420969,94736.6267420969,1
2025-01-12,94559.55167224213,94559.55167224213,94559.55167224213,94559.55167224213,1
2025-01-13,94454.77089638807,94454.77089638807,94454.77089638807,94454.77089638807,1
2025-01-14,94456.3493746993,94456.3493746993,94456.3493746993,94456.3493746993,1
2025-01-15,96574.07768799194,96574.07768799194,96574.07768799194,96574.07768799194,1
2025-01-16,100313.15239828422,100313.15239828422,100313.15239828422,100313.15239828422,1
2025-01-17,100044.57926776377,100044.57926776377,100044.57926776377,100044.57926776377,1
2025-01-18,104160.69358484233,104160.69358484233,104160.69358484233,104160.69358484233,1
