date,open,high,low,close,volume,daily_return,log_return
2024-11-27,91931.83077291827,91931.83077291827,91931.83077291827,91931.83077291827,97389239315.52954,,
2024-11-28,95981.18057210564,95981.18057210564,95981.18057210564,95981.18057210564,81469353259.75,4.404730945900237,0.04310480400748444
2024-11-29,95661.59595817851,95661.59595817851,95661.59595817851,95661.59595817851,49067932024.40325,-0.3329659127156104,-0.003335214777817533
2024-11-30,97453.2473451042,97453.2473451042,97453.2473451042,97453.2473451042,74670031635.5065,1.872905599138197,0.018555826825539034
2024-12-01,96513.14234698225,96513.14234698225,96513.14234698225,96513.14234698225,43580019720.720634,-0.9646728290057194,-0.00969355939473852
2024-12-02,97311.70719084324,97311.70719084324,97311.70719084324,97311.70719084324,49147687432.565895,0.8274156497671603,0.00824011332159629
2024-12-03,95833.1362300365,95833.1362300365,95833.1362300365,95833.1362300365,101019861361.49252,-1.519417348117258,-0.015310787680545472
2024-12-04,96031.63097759831,96031.63097759831,96031.63097759831,96031.63097759831,87935752287.975,0.20712537997853442,0.002069111710996831
2024-12-05,98881.4694561823,98881.4694561823,98881.4694561823,98881.4694561823,98230784298.0459,2.967603954626963,0.02924422805591349
2024-12-06,97201.50036407741,97201.50036407741,97201.50036407741,97201.50036407741,190460293531.53802,-1.6989726197883193,-0.017135707412357096
2024-12-07,99973.85150659826,99973.85150659826,99973.85150659826,99973.85150659826,115812632020.44765,2.852169083951117,0.02812251966924803
2024-12-08,99781.82999198174,99781.82999198174,99781.82999198174,99781.82999198174,61061136199.7846,-0.19207173848239112,-0.0019225643278093524
2024-12-09,101235.3717025316,101235.3717025316,101235.3717025316,101235.3717025316,62677764785.05408,1.4567198363335976,0.014462116003687587
2024-12-10,97353.94700820887,97353.94700820887,97353.94700820887,97353.94700820887,146846843211.51685,-3.834059804440537,-0.03909494302885656
2024-12-11,96649.71446771531,96649.71446771531,96649.71446771531,96649.71446771531,125835977742.51114,-0.7233733835508183,-0.00726002414958952
2024-12-12,101123.61811033697,101123.61811033697,101123.61811033697,101123.61811033697,118484957960.76833,4.628987956416686,0.04525045876338612
2024-12-13,100000.80836535197,100000.80836535197,100000.80836535197,100000.80836535197,100092043319.81221,-1.110333832952748,-0.011165440512807613
2024-12-14,101352.22971292294,101352.22971292294,101352.22971292294,101352.22971292294,78802903278.85962,1.3514104232373425,0.01342360317457928
2024-12-15,101367.01064553364,101367.01064553364,101367.01064553364,101367.01064553364,57321924844.41535,0.014583727119332757,0.00014582663797229375
2024-12-16,104721.50151808978,104721.50151808978,104721.50151808978,104721.50151808978,70645074624.52869,3.309253031330206,0.032556760485398635
2024-12-17,106074.10723541168,106074.10723541168,106074.10723541168,106074.10723541168,115184737759.33566,1.2916217755799098,0.012833514793611297
2024-12-18,106034.913402645,106034.913402645,106034.913402645,106034.913402645,93417826250.1972,-0.036949481629566794,-0.0003695630963252319
2024-12-19,100355.5761481501,100355.5761481501,100355.5761481501,100355.5761481501,113692025885.44745,-5.3561011861525625,-0.05504877090860486
2024-12-20,97851.35377075805,97851.35377075805,97851.35377075805,97851.35377075805,100611554887.24123,-2.4953495097224887,-0.02527011178559204
2024-12-21,97691.43431692653,97691.43431692653,97691.43431692653,97691.43431692653,112340864006.62827,-0.1634310080228185,-0.0016356470217972997
