timestamp,open,high,low,close,date,daily_return,volume_proxy,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volatility_30d
1747699200000,106139.68550864227,106518.06181045024,102381.2104823244,105629.41580436693,2025-05-20,,4136.851328125835,,,,,105629.41580436693,105629.41580436693,,0.0,0.0,0.0,,,,
1748044800000,105614.31651621085,111814.16400495898,104385.58700543168,107216.66856870623,2025-05-24,1.5026616896935296,7428.5769995273,,,,,105873.6085373422,105746.99008320688,,126.6184541353141,25.32369082706282,101.29476330825128,,,,
1748390400000,107155.62949886067,110407.15747661282,106802.15586692603,109068.45694901443,2025-05-28,1.7271459792854493,3605.001609686791,,,,,106365.12367759946,105993.02466585928,,372.0990117401816,94.67875500968658,277.420256730495,,,,
1748736000000,109010.05174104695,109104.36569299255,103295.76215848481,104687.50742934883,2025-06-01,-4.016697074676268,5808.60353450774,,,,,106107.02887017629,105896.31968537704,,210.70918479925604,117.88484096760047,92.82434383165557,,,,
1749081600000,104686.33390404453,106807.40655797713,103938.55428916616,104812.9182188067,2025-06-05,0.11979537247317484,2868.852268810966,,,,,105907.93492381174,105816.06772489035,,91.86719892139081,112.68131255835854,-20.814113636967733,,,,
1749427200000,104803.00653561576,106364.79445637435,100783.28800282151,105692.24740699005,2025-06-09,0.8389511551883944,5581.506453552836,,,,,105874.7522289161,105806.89584949033,,67.85637942576432,103.71632593183969,-35.859946506075374,,,,
1749772800000,105724.23517396167,110281.52967000511,105425.77327320668,105979.22902375911,2025-06-13,0.2715257020356354,4855.7563967984315,,,,,105890.82558196888,105819.66126980654,,71.16431216233468,97.2059231779387,-26.04161101560402,,,,
1750118400000,105897.58456696918,108784.92784760451,103081.0055179996,106951.2720181497,2025-06-17,0.9172014208299828,5703.922329604917,,,,,106053.97118753515,105903.48428820234,,150.48689933281275,107.86211840891352,42.62478092389924,,,,
1750464000000,106842.12269316116,107644.0217209073,102623.60237151975,103290.105144757,2025-06-21,-3.423210219296302,5020.41934938755,,,,,105628.76102710774,105709.90064794713,,-81.13962083938532,70.06177055925376,-151.2013913986391,,,,
1750809600000,103291.8069879248,106128.99369590884,98467.41475674923,105976.06929808448,2025-06-25,2.600407996064291,7661.5789391596045,,,,,105682.19306879648,105729.6168442536,,-47.42377545712225,46.56466135597856,-93.9884368131008,,,,
