date,btc_close,spx_close,qqq_close,gld_close,btc_close_return,spx_close_return,qqq_close_return,gld_close_return
2025-05-20,105629.41580436693,5940.46,520.27,303.58,,,,
2025-05-24,107216.66856870623,5940.46,520.27,303.58,1.5026616896935296,0.0,0.0,0.0
2025-05-28,109068.45694901443,5888.55,518.91,303.81,1.7271459792854493,-0.8738380529453971,-0.2614027331962254,0.07576256670400738
2025-06-01,104687.50742934883,5888.55,518.91,303.81,-4.016697074676268,0.0,0.0,0.0
2025-06-05,104812.9182188067,5939.3,524.79,309.33,0.11979537247317484,0.8618420494009627,1.1331444759206777,1.8169250518416113
2025-06-09,105692.24740699005,6005.88,530.7,306.62,0.8389511551883944,1.1210075261394392,1.1261647516149553,-0.8760870267998544
2025-06-13,105979.22902375911,5976.97,526.96,316.29,0.2715257020356354,-0.48136159896634556,-0.7047296024119132,3.153740786641457
2025-06-17,106951.2720181497,5982.72,529.08,311.94,0.9172014208299828,0.09620259094491601,0.4023075755275496,-1.3753201176135876
2025-06-21,103290.105144757,5982.72,529.08,311.94,-3.423210219296302,0.0,0.0,0.0
2025-06-25,105976.06929808448,6092.16,541.16,307.12,2.600407996064291,1.8292682926829285,2.283208588493224,-1.5451689427454007
2025-06-29,107331.58548463575,6092.16,541.16,307.12,1.2790776215133581,0.0,0.0,0.0
2025-07-03,108824.44423167943,6279.35,556.22,307.14,1.3908848362790494,3.0726376194978533,2.782910784241266,0.006512112529288849
2025-07-07,109215.19771840284,6229.98,552.03,307.37,0.35906775309737515,-0.786227873904155,-0.7532990543310247,0.07488441752947494
2025-07-11,115879.65030112496,6259.75,554.2,309.14,6.102129302467185,0.4778506512059577,0.39309457819323157,0.5758532062335231
2025-07-15,119833.67446712355,6243.76,556.72,306.73,3.412181652018842,-0.2554415112424602,0.45470949115842263,-0.779582066377682
2025-07-19,117988.94664455787,6243.76,556.72,306.73,-1.5394068743771805,0.0,0.0,0.0
2025-07-23,119955.79570607652,6358.91,563.81,312.18,1.6669773885207961,1.8442412905044447,1.2735306796953338,1.7768069637792205
2025-07-27,117959.54234360623,6358.91,563.81,312.18,-1.6641574929498582,0.0,0.0,0.0
2025-07-31,117833.24087995924,6339.39,565.01,302.96,-0.10707184949826365,-0.30697084877753245,0.21283765807631472,-2.953424306489849
2025-08-04,114199.10966460756,6329.94,564.1,310.91,-3.0841307497040615,-0.14906797026214003,-0.16105909629917647,2.624108793240043
