date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,RSI,EMA12,EMA26,MACD,Signal
2024-11-27,91931.83077291829,91931.83077291829,91931.83077291829,91931.83077291829,97389239315.52954,,,,,,,91931.83077291829,91931.83077291829,0.0,0.0
2024-11-28,95981.18057210564,95981.18057210564,95981.18057210564,95981.18057210564,81469353259.75,4.404730945900237,0.0431048040074844,,,,,94125.22858081144,94034.37778403479,90.85079677664908,50.47266487591615
2024-11-29,95661.59595817851,95661.59595817851,95661.59595817851,95661.59595817851,49067932024.40325,-0.3329659127156104,-0.0033352147778175,,,,,94724.87312301707,94619.02147499131,105.8516480257531,73.16896944552144
2024-11-30,97453.2473451042,97453.2473451042,97453.2473451042,97453.2473451042,74670031635.5065,1.872905599138197,0.018555826825539,,,,,95586.11423881094,95411.34717379589,174.76706501505396,107.58566848669099
2024-12-01,96513.14234698223,96513.14234698223,96513.14234698223,96513.14234698223,43580019720.72064,-0.9646728290057194,-0.0096935593947385,,,,,95837.98446262426,95666.858018921,171.12644370325143,126.48761256586769
2024-12-02,97311.70719084324,97311.70719084324,97311.70719084324,97311.70719084324,49147687432.565895,0.8274156497671603,0.0082401133215962,,,,,96196.1766178461,95996.30818921066,199.86842863544007,146.37789361517062
2024-12-03,95833.1362300365,95833.1362300365,95833.1362300365,95833.1362300365,101019861361.49252,-1.519417348117258,-0.0153107876805454,,,,,96115.16542548778,95967.28890213255,147.8765233552258,146.75715682257513
2024-12-04,96031.63097759832,96031.63097759832,96031.63097759832,96031.63097759832,87935752287.975,0.2071253799785344,0.0020691117109968,,,,,96097.73307373855,95977.656004779,120.07706895955198,140.3454299899272
2024-12-05,98881.4694561823,98881.4694561823,98881.4694561823,98881.4694561823,98230784298.0459,2.967603954626963,0.0292442280559134,,,,,96648.45521164288,96408.06490551082,240.39030613205978,163.4562927039497
2024-12-06,97201.5003640774,97201.5003640774,97201.5003640774,97201.5003640774,190460293531.538,-1.6989726197883193,-0.017135707412357,,,,,96753.25705309132,96517.55127653333,235.7057765579957,179.64437116403795
