trade_id,pattern_type,timeframe,direction,detection_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mtf_score,confidence
20,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-06 00:00:00+00:00,230.83452,210.71,291.20808,2024-10-07 00:00:00+00:00,244.05460000000002,timeout,49,647.7839200000012,18.623313183999997,629.1606068160012,0.638028255282612,3,0.7868585329014944
21,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-09 00:00:00+00:00,232.05549599999998,210.71,296.0919839999999,2024-10-10 00:00:00+00:00,243.07538400000004,timeout,44,484.8750720000029,16.7314574592,468.1436145408029,0.4984483660253236,3,0.7868585329014944
22,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-12 00:00:00+00:00,236.58911999999998,210.71,314.2264799999999,2024-10-14 00:00:00+00:00,244.53421600000001,timeout,30,238.35288000000105,11.551658879999998,226.80122112000106,0.29212897130969073,3,0.7868585329014944
23,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-16 00:00:00+00:00,239.031072,210.71,323.994288,2024-10-17 00:00:00+00:00,248.67090400000004,timeout,24,231.35596800000098,9.367700582399998,221.98826741760098,0.3265946692413354,3,0.7868585329014944
24,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-19 00:00:00+00:00,239.271264,210.71,324.955056,2024-10-21 00:00:00+00:00,251.01902400000003,timeout,21,246.7029600000006,8.2402532352,238.4627067648006,0.39757928741529197,3,0.7868585329014944
25,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-23 00:00:00+00:00,242.84411999999998,210.71,339.2464799999999,2024-10-24 00:00:00+00:00,252.31798400000002,timeout,25,236.84660000000122,9.9072824,226.93931760000123,0.2824901601164139,3,0.7868585329014944
26,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-26 00:00:00+00:00,247.08751199999998,210.71,356.2200479999999,2024-10-28 00:00:00+00:00,253.39712000000003,timeout,27,170.35941600000146,10.814850259199996,159.54456574080146,0.16243711198281124,3,0.7868585329014944
27,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-09-30 00:00:00+00:00,243.684792,210.71,342.60916799999995,2024-10-31 00:00:00+00:00,253.53700800000004,timeout,32,315.2709120000018,12.734074675199999,302.53683732480175,0.2867122305547844,3,0.7868585329014944
28,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-03 00:00:00+00:00,245.47622399999997,210.71,349.7748959999999,2024-11-04 00:00:00+00:00,252.50783200000004,timeout,26,182.82180800000162,10.362273459199997,172.45953454080163,0.19079032053639386,3,0.7868585329014944
29,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-07 00:00:00+00:00,244.44539999999998,210.71,345.6515999999999,2024-11-07 00:00:00+00:00,249.690088,timeout,36,188.8087680000009,14.236859519999996,174.5719084800009,0.14374276516656181,3,0.7868585329014944
30,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-10 00:00:00+00:00,243.46461599999998,210.71,341.7284639999999,2024-11-11 00:00:00+00:00,242.126144,timeout,39,-52.20040799999873,15.156480019199998,-67.35688801919873,-0.0527284365904326,3,0.7868585329014944
31,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-14 00:00:00+00:00,244.92578399999996,210.71,347.57313599999986,2024-11-14 00:00:00+00:00,236.77043200000003,timeout,36,-293.5926719999977,13.878310579199997,-307.4709825791977,-0.2496175632626143,3,0.7868585329014944
32,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-17 00:00:00+00:00,249.06909599999997,210.71,364.1463839999999,2024-11-18 00:00:00+00:00,241.10696000000004,timeout,31,-246.82621599999783,12.161153580799999,-258.9873695807978,-0.2177953118811751,3,0.7868585329014944
33,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-21 00:00:00+00:00,251.42097599999997,210.71,373.5539039999999,2024-11-21 00:00:00+00:00,246.18289600000003,timeout,28,-146.6662399999983,11.150741862399999,-157.8169818623983,-0.138447203545303,3,0.7868585329014944
34,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-24 00:00:00+00:00,252.722016,210.71,378.758064,2024-11-25 00:00:00+00:00,240.83717600000003,timeout,27,-320.8906799999992,10.6650435456,-331.55572354559916,-0.29229355746222635,3,0.7868585329014944
35,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-28 00:00:00+00:00,253.80287999999996,210.71,383.08151999999984,2024-11-29 00:00:00+00:00,244.76403200000004,timeout,26,-235.01004799999782,10.374267903999998,-245.38431590399782,-0.21901201089367728,3,0.7868585329014944
36,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2024-10-31 00:00:00+00:00,253.94299199999998,210.71,383.6419679999999,2024-12-02 00:00:00+00:00,243.714872,timeout,27,-276.15923999999893,10.753624627199997,-286.9128646271989,-0.24579382323573554,3,0.7868585329014944
