Task,Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Test,MAE_Train,MAE_Test,RMSE_Test,R2_Test,Direction_Accuracy
Classification,Logistic Regression,0.9060150375939849,0.835820895522388,0.7666666666666667,0.8518518518518519,0.8070175438596491,,,,,
Classification,Random Forest,1.0,0.835820895522388,0.7857142857142857,0.8148148148148148,0.8,,,,,
Classification,XGBoost,1.0,0.835820895522388,0.7666666666666667,0.8518518518518519,0.8070175438596491,,,,,
Regression,Ridge Regression,,,,,,0.14147889886345363,0.19386690321543415,0.2583681697077387,0.6390993274093044,0.835820895522388
Regression,Random Forest,,,,,,0.06811983136865894,0.21089602031604385,0.29642779300204714,0.5249410382541226,0.835820895522388
Regression,XGBoost,,,,,,0.0120221253391606,0.21640098404177252,0.2810469042685013,0.5729612493006426,0.8507462686567164
