start_idx,end_idx,start_date,end_date,high1,high2,neckline,pattern
55,135,2024-07-17,2024-11-06,1.0947147607803345,1.0933382511138916,1.0762641429901123,Double Top
83,105,2024-08-26,2024-09-25,1.1201093196868896,1.1212396621704102,1.100279450416565,Double Top
135,228,2024-11-06,2025-03-18,1.0933382511138916,1.095446228981018,1.0183818340301514,Double Top
427,520,2025-12-24,2026-05-06,1.1809163093566897,1.179662585258484,1.1415655612945557,Double Top
