start_idx,end_idx,start_date,end_date,low1,low2,neckline,pattern
342,442,2025-08-27,2026-01-16,1.157474398612976,1.1585471630096436,1.187295913696289,Double Bottom
392,404,2025-11-05,2025-11-21,1.1470125913619995,1.1492139101028442,1.1653653383255005,Double Bottom
442,531,2026-01-16,2026-05-21,1.1585471630096436,1.1577290296554563,1.2023565769195557,Double Bottom
