start_idx,head_idx,end_idx,start_date,head_date,end_date,left_shoulder,head,right_shoulder,neckline,pattern
332,357,399,2025-08-13,2025-09-17,2025-11-14,1.1730618476867676,1.187295913696289,1.1653653383255005,1.1522434949874878,Head and Shoulders
427,450,507,2025-12-24,2026-01-28,2026-04-17,1.1809163093566897,1.2023565769195557,1.1851149797439575,1.1500563621520996,Head and Shoulders
